Component,Component_KO,Chapter_Code,Chapter_Name_EN,Chapter_Name_KO,Item_Number,Total_in_Chapter,Full_Code,English_Term,Korean_Term,Definition_EN,Definition_KO,Status,Translator,Reviewer,Date_Started,Date_Completed,Priority,Notes
body_functions,Body Functions,b1,Mental Functions,정신 기능,1,65,b101,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,2,65,b102,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,3,65,b103,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,4,65,b104,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,5,65,b105,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,6,65,b106,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,7,65,b107,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,8,65,b108,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,9,65,b109,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,10,65,b110,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,11,65,b111,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,12,65,b112,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,13,65,b113,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,14,65,b114,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,15,65,b115,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,16,65,b116,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,17,65,b117,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,18,65,b118,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,19,65,b119,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,20,65,b120,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,21,65,b121,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,22,65,b122,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,23,65,b123,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,24,65,b124,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,25,65,b125,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,26,65,b126,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,27,65,b127,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,28,65,b128,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,29,65,b129,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,30,65,b130,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,31,65,b131,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,32,65,b132,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,33,65,b133,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,34,65,b134,,,,,Not Started,,,,,High,
body_functions,Body Functions,b1,Mental Functions,정신 기능,35,65,b135,,,,,Not Started,,,,,High,
